host_city,year,host_country,artist_country,running_order
Lisbon,2018,Portugal,Slovenia,3.0
Lisbon,2018,Portugal,Estonia,6.0
Lisbon,2018,Portugal,Israel,22.0
Lisbon,2018,Portugal,Australia,16.0
Lisbon,2018,Portugal,Denmark,15.0
Lisbon,2018,Portugal,Serbia,10.0
Lisbon,2018,Portugal,Czech Republic,14.0
Lisbon,2018,Portugal,Cyprus,25.0
Lisbon,2018,Portugal,Ireland,24.0
Lisbon,2018,Portugal,Albania,12.0
Lisbon,2018,Portugal,Hungary,21.0
Lisbon,2018,Portugal,Sweden,20.0
Lisbon,2018,Portugal,Lithuania,4.0
Lisbon,2018,Portugal,Austria,5.0
Lisbon,2018,Portugal,Bulgaria,18.0
Lisbon,2018,Portugal,Finland,17.0
Lisbon,2018,Portugal,Portugal,8.0
Lisbon,2018,Portugal,United Kingdom,9.0
Lisbon,2018,Portugal,Spain,2.0
Lisbon,2018,Portugal,Italy,26.0
Lisbon,2018,Portugal,France,13.0
Lisbon,2018,Portugal,Germany,11.0
Kyiv,2017,Ukraine,Iceland,13.0
Kyiv,2017,Ukraine,Latvia,18.0
Kyiv,2017,Ukraine,Czech Republic,14.0
Kyiv,2017,Ukraine,Slovenia,17.0
Kyiv,2017,Ukraine,Albania,4.0
Kyiv,2017,Ukraine,Georgia,2.0
Kyiv,2017,Ukraine,Finland,7.0
Kyiv,2017,Ukraine,Montenegro,6.0
Kyiv,2017,Ukraine,Poland,11.0
Kyiv,2017,Ukraine,Greece,10.0
Kyiv,2017,Ukraine,Moldova,12.0
Kyiv,2017,Ukraine,Armenia,16.0
Kyiv,2017,Ukraine,Sweden,1.0
Kyiv,2017,Ukraine,Belgium,5.0
Kyiv,2017,Ukraine,Australia,3.0
Kyiv,2017,Ukraine,Azerbaijan,8.0
Kyiv,2017,Ukraine,Cyprus,15.0
Kyiv,2017,Ukraine,Portugal,9.0
Kyiv,2017,Ukraine,Lithuania,16.0
Kyiv,2017,Ukraine,San Marino,10.0
Kyiv,2017,Ukraine,Estonia,17.0
Kyiv,2017,Ukraine,Switzerland,13.0
Kyiv,2017,Ukraine,Ireland,9.0
Kyiv,2017,Ukraine,Serbia,1.0
Kyiv,2017,Ukraine,Malta,4.0
Kyiv,2017,Ukraine,North Macedonia,3.0
Kyiv,2017,Ukraine,Norway,12.0
Kyiv,2017,Ukraine,Belarus,14.0
Kyiv,2017,Ukraine,Croatia,11.0
Kyiv,2017,Ukraine,Bulgaria,15.0
Kyiv,2017,Ukraine,Israel,18.0
Kyiv,2017,Ukraine,Austria,2.0
Kyiv,2017,Ukraine,Hungary,7.0
Kyiv,2017,Ukraine,Romania,5.0
Kyiv,2017,Ukraine,Denmark,8.0
Kyiv,2017,Ukraine,Netherlands,6.0
Kyiv,2017,Ukraine,France,26.0
Kyiv,2017,Ukraine,Germany,21.0
Kyiv,2017,Ukraine,Spain,16.0
Kyiv,2017,Ukraine,United Kingdom,18.0
Kyiv,2017,Ukraine,Italy,9.0
Kyiv,2017,Ukraine,Ukraine,22.0
Kyiv,2017,Ukraine,Poland,2.0
Kyiv,2017,Ukraine,Greece,15.0
Kyiv,2017,Ukraine,Moldova,7.0
Kyiv,2017,Ukraine,Armenia,5.0
Kyiv,2017,Ukraine,Sweden,24.0
Kyiv,2017,Ukraine,Belgium,23.0
Kyiv,2017,Ukraine,Australia,14.0
Kyiv,2017,Ukraine,Azerbaijan,12.0
Kyiv,2017,Ukraine,Cyprus,19.0
Kyiv,2017,Ukraine,Portugal,11.0
Kyiv,2017,Ukraine,Norway,17.0
Kyiv,2017,Ukraine,Belarus,3.0
Kyiv,2017,Ukraine,Croatia,13.0
